Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	Ms1 Seite Ms.2	Ms1 Seite Ms.1	Glosse	R Reim	Tg1a Kapitel	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	Ms1 Seite Ms.3	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ms2 Zeile Ms.2	Ms2 Zeile Ms.1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ms2 Zeile Ms.3	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:04:17.400	257.4	00:04:22.800	262.8	00:00:05.400	5.4	K296r	L60va			1								CF_I_Rel						33		333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:04:23.200	263.2	00:04:26.600	266.6	00:00:03.400	3.4	K296r	L60va			1								CF_U_M								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:04:27.000	267.0	00:04:32.600	272.6	00:00:05.600	5.6	K296r	L60va			1								CF_I_Rel								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:04:33.000	273.0	00:04:43.800	283.8	00:00:10.800	10.8	K296r	L60va			1								CF_I_Rel								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:04:44.200	284.2	00:04:51.000	291.0	00:00:06.800	6.8	K296r	L60va			1								CF_I_Adv_Caus								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:04:51.400	291.4	00:05:03.600	303.6	00:00:12.200	12.2	K296r				1								CF_U_M								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:05:03.800	303.8	00:05:05.400	305.4	00:00:01.600	1.6	K296r	L60vb			1								CE						2		333						852:K296r:870															852:K296r:870	file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:05:05.400	305.4	00:05:09.200	309.2	00:00:03.800	3.8	K296r	L60vb			1								CF_I_Adv_Mod						2		333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:05:09.600	309.6	00:05:18.400	318.4	00:00:08.800	8.8	K296r	L60vb			1								CF_U_Imp								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:05:18.800	318.8	00:05:25.200	325.2	00:00:06.400	6.4	K296r	L60vb			1								CF_U_M								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:05:25.600	325.6	00:05:33.400	333.4	00:00:07.800	7.8	K296r	L60vb			1								CF_U_Imp								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:05:33.800	333.8	00:05:39.600	339.6	00:00:05.800	5.8	K296r	L60vb			1								CF_U_M								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:05:40.000	340.0	00:05:46.400	346.4	00:00:06.400	6.4	K296r	L60vb			1								CF_U_Imp 								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:05:46.800	346.8	00:05:54.400	354.4	00:00:07.600	7.6	K296r	L60vb			1								CF_I_Imp 								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:05:54.800	354.8	00:06:00.200	360.2	00:00:05.400	5.4		L60vb			1								CF_U_M																														file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:06:00.600	360.6	00:06:07.600	367.6	00:00:07.000	7.0	K296v	L60vb			1								CF_U_M								335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:06:08.000	368.0	00:06:19.800	379.8	00:00:11.800	11.8	K296v	L60vb			1								CF_I_Rel								335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:06:20.200	380.2	00:06:26.200	386.2	00:00:06.000	6.0	K296v	L60vb			1								CF_I_Adv_Caus						13		335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:06:26.600	386.6	00:06:35.600	395.6	00:00:09.000	9.0	K296v	L60vb			1								CF_U_Imp								335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:06:36.000	396.0	00:06:42.000	402.0	00:00:06.000	6.0	K296v	L60vb			1								CF_U_M								335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:06:42.400	402.4	00:06:51.600	411.6	00:00:09.200	9.2	K296v	L60vb			1								CF_I_Imp 								335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:06:52.000	412.0	00:06:55.800	415.8	00:00:03.800	3.8	K296v	L60vb			1								CF_I_Imp 						17		335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:06:56.200	416.2	00:07:01.600	421.6	00:00:05.400	5.4	K296v	L60vb			1								CF_U_M								335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:07:02.000	422.0	00:07:14.000	434.0	00:00:12.000	12.0	K296v	L60vb			1								CF_U_Imp								335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:07:14.200	434.2	00:07:20.800	440.8	00:00:06.600	6.6	K296v	L60vb			1								CF_U_M						21		335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:07:21.000	441.0	00:07:31.400	451.4	00:00:10.400	10.4	K296v	L60vb			1								CF_I_Rel								335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:07:31.800	451.8	00:07:38.000	458.0	00:00:06.200	6.2	K296v	L60vb			1								CF_I_Adv_Caus								335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:07:38.400	458.4	00:07:49.600	469.6	00:00:11.200	11.2	K296v	L60vb			1								CE								335																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
