Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	M1a DDDTS Lemma	Standard W	S1a Satz	Sprache	Übersetzung	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Tg2a Vers	Identifizierer	File Path
00:01:24.600	84.6	00:01:27.000	87.0	00:00:02.400	2.4				bizeihhanen	ind_pres_sg_3				VV	bizeichenet	CF_U_M 	goh	bedeuten, bezeichnen	wk1a		130							110		bizêichenét			VVFIN	wk1a	bizêichenét			1225	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:27.000	87.0	00:01:27.600	87.6	00:00:00.600	0.6				dër	masc_sg_acc				DD	den	CF_U_M 	goh	der, die, das			130							110		den			DDS		den			1226	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:27.600	87.6	00:01:28.000	88.0	00:00:00.400	0.4									$,	, 						130							110		, 			$,		, 				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:28.000	88.0	00:01:28.800	88.8	00:00:00.800	0.8				dër	masc_sg_nom				DD	der	CF_I_Att 	goh	der, die, das			130							110		der			DDSREL		der			1227	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:28.800	88.8	00:01:29.600	89.6	00:00:00.800	0.8				dar					ADV	dir	CF_I_Att 	goh	da, dort			130							110		dir			ADV		dir			1228	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:29.600	89.6	00:01:30.400	90.4	00:00:00.800	0.8				sin	ind_pres_sg_3				VA	ist	CF_I_Att 	goh	sein	irr		130							110		ist			VAFIN	irr	ist			1229	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:30.400	90.4	00:01:32.200	92.2	00:00:01.800	1.8				unstati	pos_masc,neut_sg_gen_st				ADJ	unstades	CF_I_Att 	goh	unbeständig, unstet, flüchtig	p		130							110		unstâdes			ADJ	ja,jo	unstâdes			1230	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:32.200	92.2	00:01:33.400	93.4	00:00:01.200	1.2				muot	sg_gen				NA	muodes	CF_I_Att 	goh	Seele, Herz, Gemüt(sverfassung), Meinung; Mut	a_masc,neut		130							110		muôdés			NA	a_masc,neut	muôdés			1231	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:33.400	93.4	00:01:33.800	93.8	00:00:00.400	0.4									$,	, 						130							110		, 			$,		, 				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:33.800	93.8	00:01:34.600	94.6	00:00:00.800	0.8				dër	masc_sg_nom				DD	der	CF_I_Att 	goh	der, die, das			130							110		der			DDSREL		der			1232	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
