Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	Ms1 Seite Ms.2	Ms1 Seite Ms.1	Glosse	R Reim	Tg1a Kapitel	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	Ms1 Seite Ms.3	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ms2 Zeile Ms.2	Ms2 Zeile Ms.1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ms2 Zeile Ms.3	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:00:50.200	50.2	00:01:06.000	66.0	00:00:15.800	15.8	G64vb	D51v											CF							591	188																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:06.400	66.4	00:01:09.200	69.2	00:00:02.800	2.8	G64vb	D51v											CF						19	591	188																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:09.400	69.4	00:01:11.400	71.4	00:00:02.000	2.0	G64vb	D52r											CF						1	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:11.800	71.8	00:01:20.600	80.6	00:00:08.800	8.8	G64vb	D52r											CP						1	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:20.600	80.6	00:01:25.400	85.4	00:00:04.800	4.8	G64vb	D52r											CF						1	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:25.800	85.8	00:01:28.200	88.2	00:00:02.400	2.4	G64vb	D52r											CF						2	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:28.200	88.2	00:01:37.600	97.6	00:00:09.400	9.4	G64vb	D52r											CF						2	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:37.600	97.6	00:01:42.400	102.4	00:00:04.800	4.8	G64vb	D52r											CF							591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:42.800	102.8	00:01:46.200	106.2	00:00:03.400	3.4	G64vb	D52r											CF						3	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:46.600	106.6	00:01:55.200	115.2	00:00:08.600	8.6	G64vb	D52r											CP							591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:01:55.200	115.2	00:02:00.000	120.0	00:00:04.800	4.8	G64vb	D52r											CF						4	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:02:00.400	120.4	00:02:03.600	123.6	00:00:03.200	3.2	G64vb	D52r											CF						4	591	189																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
