Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	M1a DDDTS Lemma	Standard W	S1a Satz	Sprache	Übersetzung	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Tg2a Vers	Identifizierer	File Path
00:06:18.200	378.2	00:06:26.400	386.4	00:00:08.200	8.2											CF 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:06:26.800	386.8	00:06:43.000	403.0	00:00:16.200	16.2											CP																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:06:43.400	403.4	00:06:58.600	418.6	00:00:15.200	15.2											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:06:59.000	419.0	00:07:00.800	420.8	00:00:01.800	1.8				aʒ erist					ADV	aʒ ērist		goh	zuerst												az erist			ADV		az erist				file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:07:00.800	420.8	00:07:09.000	429.0	00:00:08.200	8.2											CF 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:07:09.400	429.4	00:07:19.600	439.6	00:00:10.200	10.2											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:07:20.000	440.0	00:07:20.800	440.8	00:00:00.800	0.8				daʒ					KO	daʒ	CF_CS	goh	daß, damit												daz			KOUS		daz			317	file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:07:20.800	440.8	00:07:31.800	451.8	00:00:11.000	11.0											CF_I_Att																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:07:32.200	452.2	00:07:44.800	464.8	00:00:12.600	12.6											CF_CC																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:07:45.200	465.2	00:08:00.600	480.6	00:00:15.400	15.4											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:08:01.000	481.0	00:08:16.200	496.2	00:00:15.200	15.2											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:08:16.600	496.6	00:08:17.800	497.8	00:00:01.200	1.2				uʒan					KO	ūʒan		goh	aber, sondern												uzzan			KON		uzzan			358	file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:08:19.400	499.4	00:08:30.600	510.6	00:00:11.200	11.2											CP 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:08:30.600	510.6	00:08:39.200	519.2	00:00:08.600	8.6											CF 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:08:39.600	519.6	00:08:46.800	526.8	00:00:07.200	7.2											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:08:47.200	527.2	00:08:55.400	535.4	00:00:08.200	8.2											CF 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:08:55.400	535.4	00:09:01.400	541.4	00:00:06.000	6.0											CP 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:09:01.400	541.4	00:09:04.400	544.4	00:00:03.000	3.0											CP 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:09:04.800	544.8	00:09:12.600	552.6	00:00:07.800	7.8											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:09:13.000	553.0	00:09:34.600	574.6	00:00:21.600	21.6											CF 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
