Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:03:39.600	219.6	00:03:40.400	220.4	00:00:00.800	0.8		1		sus					sus	ADV	CF_U_M	goh	so								7		::1130				Sus				ADV		Sus				::1130	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:40.400	220.4	00:03:41.600	221.6	00:00:01.200	1.2		1		quëdan	ind_past_sg_3				quad	VV	CF_U_M	goh	sprechen, sagen		st5						7		::1140				chuad				VVFIN	st5	chuad				::1140	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:41.600	221.6	00:03:42.400	222.4	00:00:00.800	0.8		1		ouh					ouh	ADV	CF_U_M	goh	auch								7		::1150				auh				ADV		auh				::1150	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:42.400	222.4	00:03:43.200	223.2	00:00:00.800	0.8		1		dër	masc_sg_nom				dër	DD	CF_U_M	goh	der, die, das								7		::1160				der				DDA		der				::1160	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:43.200	223.2	00:03:44.800	224.8	00:00:01.600	1.6		1		forasago	sg_nom				forasago	NA	CF_U_M	goh	Prophet		n_masc						7		::1170				forasago				NA	n_masc	forasago				::1170	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:45.400	225.4	00:03:46.200	226.2	00:00:00.800	0.8		1		er danne					ēr danne	KO	CF_I_Adv_Temp 	goh	ehe, bevor								7		::1180				Aer danne				KOUS		Aer danne				::1180	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:46.600	226.6	00:03:47.800	227.8	00:00:01.200	1.2		1		er danne					ēr danne	KO	CF_I_Adv_Temp 	goh	ehe, bevor								7		::1190				Aer danne				KOUS		Aer danne				::1190	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:48.600	228.6	00:03:49.600	229.6	00:00:01.000	1.0		1		gibëran	ind_past_sg_1				gibar	VV	CF_I_Adv_Temp 	goh	gebären		st4						7		::1200				gabar				VVFIN	st4	gabar				::1200	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:50.000	230.0	00:03:51.000	231.0	00:00:01.000	1.0		1		inti					inti	KO	CF_I_Adv_Temp 	goh	und								7		::1210				enti				KON		enti				::1210	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:51.000	231.0	00:03:51.800	231.8	00:00:00.800	0.8		1		er danne					ēr danne	KO	CF_I_Adv_Temp 	goh	ehe, bevor								7		::1220				aer denne				KOUS		aer denne				::1220	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
